Domain,User,Subdomain
brandon.sites.carleton.edu,brandons,midterm.brandon.sites.carleton.edu
owendetmer.sites.carleton.edu,owendetm,midterm.owendetmer.sites.carleton.edu
owendetmer.sites.carleton.edu,owendetm,midterm1.owendetmer.sites.carleton.edu
jz.sites.carleton.edu,jzsitesc,midterm.jz.carleton.edu
jz.sites.carleton.edu,jzsitesc,midterm.jz.sites.carleton.edu
briggs.sites.carleton.edu,briggssi,midterm.briggs.sites.carleton.edu
albarassim.sites.carleton.edu,albarass,midterm.albarassim.sites.carleton.edu
smithp4.sites.carleton.edu,smithpsi,midterm.smithp4.sites.carleton.edu
wertm.sites.carleton.edu,wertmsit,midterm.wertm.sites.carleton.edu
allene2.sites.carleton.edu,allenesi,midterm.allene2.sites.carleton.edu
kimz.sites.carleton.edu,kimzsite,midterm.kimz.sites.carleton.edu
lugod2.sites.carleton.edu,lugodsit,midterm.lugod2.sites.carleton.edu
tashapaez.sites.carleton.edu,tashapae,midterm.natasha.org
tashapaez.sites.carleton.edu,tashapae,midterm.tashapaez.sites.carleton.edu
tashapaez.sites.carleton.edu,tashapae,mymidterm.com
thomasr2.sites.carleton.edu,thomasrs,midterm.thomasr2.sites.carleton.edu
dimondc2.sites.carleton.edu,dimondcs,midterm.dimondc2.sites.carleton.edu
haochen.sites.carleton.edu,haochens,midterm.haochen.sites.carleton.edu
aratd.sites.carleton.edu,aratdsit,midterm.aratd.sites.carleton.edu
choir.sites.carleton.edu,choirsit,midterm.choir.sites.carleton.edu
storrsr.sites.carleton.edu,storrsrs,midterm.storrsr.sites.carleton.edu
woodmancyl.sites.carleton.edu,woodmanc,midterm.woodmancyl.sites.carleton.edu
murillog.sites.carleton.edu,murillog,midterm.murillog.sites.carleton.edu
mohra.sites.carleton.edu,mohrasit,midterm.mohra.sites.carleton.edu
bernharde.sites.carleton.edu,bernhard,midterm.bernharde.sites.carleton.edu
beckerk.sites.carleton.edu,beckerks,midterm.beckerk.sites.carleton.edu
thompsons.sites.carleton.edu,thompson,midterm.thompsons.sites.carleton.edu
lorenzmeyerb.sites.carleton.edu,lorenzme,midterm.lorenzmeyerb.sites.carleton.edu
yangs8.sites.carleton.edu,yangssit,midterm.yangs8.sites.carleton.edu
readej.sites.carleton.edu,readejsi,midterm.readej.sites.carleton.edu
dimondt.sites.carleton.edu,dimondts,midterm.dimondt.sites.carleton.edu
caryswansona.sites.carleton.edu,caryswan,midterm.caryswansona.sites.carleton.edu
may.sites.carleton.edu,maysites,midterm.may.sites.carleton.edu
har.sites.carleton.edu,harsites,midterm.har.sites.carleton.edu
tuckerd.sites.carleton.edu,tuckerds,midterm.tuckerd.sites.carleton.edu
xiee.sites.carleton.edu,xieesite,midterm.xiee.sites.carleton.edu
rodrigueze.sites.carleton.edu,rodrigue,midterm.rodrigueze.sites.carleton.edu
resnikm.sites.carleton.edu,resnikms,midterm.resnikm.sites.carleton.edu
aidenjohnson.sites.carleton.edu,aidenjoh,midterm.aidenjohnson.sites.carleton.edu
aidenjohnson.sites.carleton.edu,aidenjoh,wcma.timeline.com
volkamerr.sites.carleton.edu,volkamer,midterm.volkamerr.sites.carleton.edu
schwarzg.sites.carleton.edu,schwarzg,midterm.schwarzg.sites.carleton.edu
gabrielcohen.sites.carleton.edu,gabrielc,midterm.gabrielcohen.sites.carleton.edu
kleiny.sites.carleton.edu,kleinysi,midterm.kleiny.sites.carleton.edu
rockjonesi.sites.carleton.edu,rockjone,midterm.rockjonesi.sites.carleton.edu
smithm8.sites.carleton.edu,smithmsi,midterm.smithm8.sites.carleton.edu
hopeyu.sites.carleton.edu,hopeyusi,midterm.hopeyu.sites.carleton.edu
richy.sites.carleton.edu,richysit,midterm.richy.sites.carleton.edu
mallareddys.sites.carleton.edu,mallared,midterm.mallareddys.sites.carleton.edu
dylanstiffler.sites.carleton.edu,dylansti,midterm.dylanstiffler.sites.carleton.edu
cameronhoffmann.sites.carleton.edu,cameronh,midterm.cameronhoffmann.sites.carleton.edu
shenr2.sites.carleton.edu,shenrsit,midterm.shenr2.sites.carleton.edu
godinezk.sites.carleton.edu,godinezk,midterm.godinezk.sites.carleton.edu
wiczynskik.sites.carleton.edu,wiczynsk,midterm.wiczynskik.sites.carleton.edu
yangl4.sites.carleton.edu,yanglsit,midterm.yangl4.sites.carleton.edu
drakem2.sites.carleton.edu,drakemsi,midterm.drakem2.sites.carleton.edu
guana.sites.carleton.edu,guanasit,midterm.guana.sites.carleton.edu
cams.sites.carleton.edu,camssite,chile-argentina.cams.sites.carleton.edu
xuf.sites.carleton.edu,xufsites,midterm.xuf.sites.carleton.edu
thayain.sites.carleton.edu,thayains,midterm.thayain.sites.carleton.edu
caoh.sites.carleton.edu,caohsite,midterm.caoh.sites.carleton.edu
jiangh.sites.carleton.edu,jianghsi,midterm.jiangh.sites.carleton.edu
gautamaj.sites.carleton.edu,gautamaj,midterm.gautamaj.sites.carleton.edu
qiana.sites.carleton.edu,qianasit,midterm.qiana.sites.carleton.edu
wakabayashin.sites.carleton.edu,wakabaya,midterm.wakabayashin.sites.carleton.edu
penalemesc.sites.carleton.edu,penaleme,midterm.penalemesc.sites.carleton.edu
hurtubisej.sites.carleton.edu,hurtubis,final.hurtubisej.sites.carleton.edu
hurtubisej.sites.carleton.edu,hurtubis,midterm.hurtubisej.sites.carleton.edu
montess.sites.carleton.edu,montesss,midterm.montess.sites.carleton.edu
xunz.sites.carleton.edu,xunzsite,midterm.xunz.sites.carleton.edu
nelsonj4.sites.carleton.edu,nelsonjs,midterm.nelsonj4.sites.carleton.edu
pieperm.sites.carleton.edu,pieperms,midterm.pieperm.sites.carleton.edu
gudinaf.sites.carleton.edu,gudinafs,midterm.gudinaf.sites.carleton.edu
luc2.sites.carleton.edu,lucsites,midterm.luc2.sites.carleton.edu
evansd3.sites.carleton.edu,evansdsi,midterm.evansd3.sites.carleton.edu
